Rank,Company,Symbol,Market Cap,Sector,Industry,Market_Cap,Revenue
22,Krafton,259960.KS,$10.78 B,Communication Services,Electronic Gaming & Multimedia,10.78,2.35775983616
23,LG Electronics,066570.KS,$10.52 B,Technology,Consumer Electronics,10.52,86.603754110976
24,Hanwha Aerospace,012450.KS,$10.23 B,Industrials,Aerospace & Defense,10.23,10.047485640704
25,Korea Electric Power,KEP,$9.64 B,Utilities,Utilities - Regulated Electric,9.64,92.403461521408
26,POSCO Chemical,003670.KS,$9.33 B,Basic Materials,Building Materials,9.33,4.485520818176
27,Ecopro BM,247540.KQ,$9.18 B,Industrials,Electrical Equipment & Parts,9.18,4.763627290624
28,KT&G (Korea Tobacco),033780.KS,$8.71 B,Consumer Defensive,Tobacco,8.71,5.79377823744
29,SK Telecom,SKM,$8.51 B,Communication Services,Telecom Services,8.51,17.956400529408
30,LG Corp,003550.KS,$8.17 B,Technology,Consumer Electronics,8.17,7.344702881792
31,Woori Financial Group,WF,$8.16 B,Financial Services,Banks - Regional,8.16,10.406976290816
32,Industrial Bank of Korea (IBK),024110.KS,$8.16 B,Financial Services,Banks - Regional,8.16,9.012399570944
33,KakaoBank,323410.KS,$8.13 B,Financial Services,Banks - Regional,8.13,1.441229963264
34,KT Corporation,KT,$7.98 B,Communication Services,Telecom Services,7.98,26.454200942592
35,Doosan Enerbility,034020.KS,$7.95 B,Industrials,Specialty Industrial Machinery,7.95,16.498426904576
36,DSME (Daewoo Shipbuilding),042660.KS,$7.26 B,Industrials,Aerospace & Defense,7.26,8.967494303744
37,Ecopro,086520.KQ,$6.62 B,Materials,Chemicals,6.62,7.26
38,Korean Air Lines,003495.KS,$6.22 B,Industrials,Airlines,6.22,17.336102813696
39,Samsung Electro-Mechanics,009155.KS,$6.22 B,Technology,Electronic Components,6.22,9.871583870976
40,Hyundai Glovis,086280.KS,$6.20 B,Industrials,Integrated Freight & Logistics,6.2,26.498293563392
